question;questionText;type
urn:LCQuAD:id:2274;Name the kingdom with currency Solidus (coin) and administrative headquarters in Nicomedia?;Place
urn:LCQuAD:id:4921;Name the river whose mouth place is Old Lyme, Connecticut?;Place
urn:LCQuAD:id:4916;What are the things whose leader was a monarch of Willem-Alexander of the Netherlands?;Place
urn:LCQuAD:id:166;Rivers from which countries flow into the Caspian?;Place
urn:LCQuAD:id:1751;Which is the nearest city to Elliott Bay ?;Place
urn:LCQuAD:id:1129;What is the municipality of Patterson Houses ?;Place
urn:LCQuAD:id:211;What are the border of High Desert (Oregon)?;Place
urn:LCQuAD:id:3997;What is the location city of Burnside Distribution Corporation ?;Place
urn:LCQuAD:id:3683;Name the river with mouth palce Essex and source place as Gloucestershire ?;Place
urn:LCQuAD:id:790;What are the resting places of the associates of John Betts a, Connecticut politician?;Place
urn:LCQuAD:id:2910;Which peak was first scaled by Krzysztof Wielicki?;Place
urn:LCQuAD:id:1818;List the state of the universities whose nation is United States ?;Place
urn:LCQuAD:id:4176;What is the nationality of Sune Agerschou ?;Place
urn:LCQuAD:id:2244;What is the military rank of the important commander of Peruvian Army?;Place
urn:LCQuAD:id:3153;Name the sovereign state of Wallington railway station ?;Place
urn:LCQuAD:id:1665;Where does the Giannis Alafouzos originate?;Place
urn:LCQuAD:id:945;What is the birth city of the Salford City F.C players ?;Place
urn:LCQuAD:id:4697;Who are the maintainers of the bridges which cross the pandaruan river?;Place
urn:LCQuAD:id:4141;What is the broadcast area of CFRX ?;Place
urn:LCQuAD:id:1740;Which destination of the Novair International Airways is also the  predecessor of the Chevrolet Caprice?;Place
urn:LCQuAD:id:2447;Name the city of Duwamish River ?;Place
urn:LCQuAD:id:1113;Where was the Temptation Waits recorded?;Place
urn:LCQuAD:id:2092;What is the state of origin of Abbas Jafri ?;Place
urn:LCQuAD:id:2945;Which river has its roots in Baikal Mountains?;Place
urn:LCQuAD:id:1935;List the countries through which European rout E39 and E8 passes ?;Place
urn:LCQuAD:id:4454;Name the mountain which belongs to Sierra Nevada range and is located in Inyo National Forest?;Place
urn:LCQuAD:id:1595;What is the state of the settlement, which is the sub assembly of Mohamedia, Tunisia ?;Place
urn:LCQuAD:id:3652;Where is the football team located in which Josh Bell did his debut?;Place
urn:LCQuAD:id:3475;What is the ethicity of Ted Falon?;Place
urn:LCQuAD:id:2879;Name the river whose mouth mountain is Essex and river mouth is North Sea?;Place
urn:LCQuAD:id:1891;What is the death place of the Marina Pankova and Viktor Ulyanich?;Place
urn:LCQuAD:id:2021;What is the source country of reg Lake ?;Place
urn:LCQuAD:id:2577;Who operates the Ganz UV?;Place
urn:LCQuAD:id:2238;Where has GARAGE recorded its singles?;Place
urn:LCQuAD:id:576;Which railway line goes through the stations which are a part of the North Caucasus railway?;Place
urn:LCQuAD:id:1180;Name the source Island of Bayou ?;Place
urn:LCQuAD:id:888;What location country of AH141 is also the nation of malaysia Junior hockey league ?;Place
urn:LCQuAD:id:1777;Which river flows through both eastern and western washington?;Place
urn:LCQuAD:id:2409;List the language of Kunsten Museum of moder art Aalborg ?;Place
urn:LCQuAD:id:4352;Who is the predecessor of Voere ?;Place
urn:LCQuAD:id:4512;Which city is Black Grape Global located ?;Place
urn:LCQuAD:id:3012;Where was Henri, Duke of Rohan laid to rest?;Place
urn:LCQuAD:id:4541;Name the common serving line of Daund Junction railway station and Ujjain Junction railway station?;Place
urn:LCQuAD:id:3479;What is the county seat of Moscow Governorate ?;Place
urn:LCQuAD:id:2034;List borders of the admin region bordering Arctic ocean ?;Place
urn:LCQuAD:id:1022;What is the nationality of the J. T. Krogh which is also the  sovereign state of the Camilla Martin;Place
urn:LCQuAD:id:3121;Name the river whose source place is Gloucestershire and mouth place is Southend-on-Sea ?;Place
urn:LCQuAD:id:2005;Which cities have the river one of whose Tributary is the Missouri s big spring?;Place
urn:LCQuAD:id:266;List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?;Place
urn:LCQuAD:id:2366;Where can I find companies which originated in Canada?;Place
urn:LCQuAD:id:3896;Where is the T.I. Ahmadiyya Girls Senior High School?;Place
urn:LCQuAD:id:1627;To what region is Sukhumbhand Paribatra, a leader?;Place
urn:LCQuAD:id:2873;What are the birth place of the people who are the star of Dhoondte Reh Jaaoge?;Place
urn:LCQuAD:id:4386;Which mountains are contained in Inyo National Forest?;Place
urn:LCQuAD:id:1188;Where are the homestadiums of the seasons chaired by Merritt Paulson?;Place
urn:LCQuAD:id:2080;What is the architecture of First National Bank and Trust Building (Lima, Ohio) ?;Place
urn:LCQuAD:id:76;Which country has given citizenship to both saima chowdhury and edmund john?;Place
urn:LCQuAD:id:2314;What is a salthill?;Place
urn:LCQuAD:id:1703;Where does the Jerusalem Institute of Justice render their services?;Place
urn:LCQuAD:id:1844;What borders siberia?;Place
urn:LCQuAD:id:910;What is the region of the successor of Mr. Jerome B. Chaffee ?;Place
urn:LCQuAD:id:3516;what mountains are in sierra nevada?;Place
urn:LCQuAD:id:2705;What is the river which comes from Southend-on-Sea mountain?;Place
urn:LCQuAD:id:3308;Name the capital of Barony of Caux ?;Place
urn:LCQuAD:id:4944;Rivers which end in Arkansas go through which cities?;Place
urn:LCQuAD:id:3852;What is the country of origin of the president of Skai group?;Place
urn:LCQuAD:id:4110;What are the important buildings of the architect whose one of the significant building is Krasnye Vorota?;Place
urn:LCQuAD:id:102;Which country s leader is David Johnston?;Place
urn:LCQuAD:id:4422;List education institute of the engineers whose alma mater is ChristChurch ?;Place
urn:LCQuAD:id:2025;The successor of Ellsworth Bunker belongs to which religion?;Place
urn:LCQuAD:id:396;Which rivers start in Wyoming?;Place
urn:LCQuAD:id:2552;In which mountain range does the Rochers De Naye lie?;Place
urn:LCQuAD:id:1800;King crimson has been recorded in which places?;Place
urn:LCQuAD:id:2437;what are some neighboring cities of Pregny Chambsy?;Place
urn:LCQuAD:id:2333;Through which counties does the road go which starts at the Port Klang?;Place
urn:LCQuAD:id:3164;What is the second track list of Dschinghis Khan (song) ?;Place
urn:LCQuAD:id:3760;What is the capital of the region which maintains the South Park Bridge ?;Place
urn:LCQuAD:id:4213;AH141 highway is a part of which country?;Place
urn:LCQuAD:id:3933;Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?;Place
urn:LCQuAD:id:3311;List the launch site of the rockets whose one of the launch site has been Cape Canaveral Air Force Station Launch Complex 26 ?;Place
urn:LCQuAD:id:1490;Where is the county seat of King County, Washington?;Place
urn:LCQuAD:id:4746;Where is the tomb of son of Bruce Lee?;Place
urn:LCQuAD:id:4157;Which country were the people from who became famous for the Ramon Mangsaysay Award?;Place
urn:LCQuAD:id:178;Name the major shrine of Bogumilus?;Place
urn:LCQuAD:id:4466;What are the other launch site of the rockets which also have been launched from  Cape Canaveral Air Force Station Launch Complex 5 ?;Place
urn:LCQuAD:id:2627;Danny Felice, the Gibraltarian guitarist is from which city?;Place
urn:LCQuAD:id:658;Name the rivers originating from an English speaking nation?;Place
urn:LCQuAD:id:1088;In which region was political figure Wayne Allard elected?;Place
urn:LCQuAD:id:4500;Which county seats are in the district where I can find the Hylebos Creek?;Place
urn:LCQuAD:id:4640;Which largest city of Salsette Island is also the largest city of India ?;Place
urn:LCQuAD:id:2743;Which operator of ganz UV is also the nationality of the Gza Horvth ?;Place
urn:LCQuAD:id:3739;Name the other wine region of the grapes whose one of the wine region is Michigan?;Place
urn:LCQuAD:id:3781;Which administrative region leader is Sukhumbhand Paribatra and was founded by  Rama I?;Place
urn:LCQuAD:id:2288;Name the largest city of the country where the body of Amit Saigal was discovered?;Place
urn:LCQuAD:id:3355;Collect and return a list of things in the area where Spanish language is used?;Place
urn:LCQuAD:id:2697;Where did Wallace Dollase die?;Place
urn:LCQuAD:id:1683;In which state is Red Willow Creek?;Place
urn:LCQuAD:id:155;What is the nation of the speedway league where Ikaros Smederna played?;Place
urn:LCQuAD:id:4641;Which route start of Moscow-Kazan high-speed railway is the home stadium of 2011-12 FC Spartak Moscow ?;Place
urn:LCQuAD:id:930;in which country does the river end which originates in Lebrsnik?;Place
urn:LCQuAD:id:3291;List the mountains of the range Sierra Nevada (U.S.) located in  California?;Place
urn:LCQuAD:id:3318;Name the home ground of  2015 Fort Lauderdale Strikers season ?;Place
urn:LCQuAD:id:4777;Where are the cooper mountain vineyards and Mt. bachelor ski area located?;Place
urn:LCQuAD:id:246;Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?;Place
urn:LCQuAD:id:2810;Artists trained at art students league NY are buried where?;Place
urn:LCQuAD:id:923;What is the municipality of Liberty Bell ?;Place
urn:LCQuAD:id:4549;What does the river end on whose border we find in Bjelasnica?;Place
urn:LCQuAD:id:2406;What is the state of origin of Thomas Pfyl ?;Place
urn:LCQuAD:id:3189;Which mainter of  Cheasty Boulevard South is also the county seat of the King County, Washingtonsu ?;Place
urn:LCQuAD:id:3980;What are the largest cities in each of the destinations of TranStar Airlines?;Place
urn:LCQuAD:id:1749;What is the citizenship of Erastus Wiman ?;Place
urn:LCQuAD:id:2671;List the birthplace of the medicians who studied in Harvard.;Place
urn:LCQuAD:id:343;Which river ends at  Thames Estuary and North Sea?;Place
urn:LCQuAD:id:3139;What is the division of Serbia national American football team ?;Place
urn:LCQuAD:id:1517;Which rivers start at the Brower s Spring?;Place
urn:LCQuAD:id:4406;Who is the builder of Presidio Santa Cruz de Terrenate ?;Place
urn:LCQuAD:id:176;What is the largest city in the country where the San Marcos River originates?;Place
urn:LCQuAD:id:2459;List all the settlements which has a part named Seguin,Texas ?;Place
urn:LCQuAD:id:2208;In which state is Colemanville Covered Bridge located ?;Place
urn:LCQuAD:id:2189;List all the major shrines of the saints which has one of the shrines as Debre Libanos ?;Place
urn:LCQuAD:id:4065;Through which important cities the does the river originating from the Duwamish, flow?;Place
urn:LCQuAD:id:3674;List all the operators of the train who operates in Budapest ?;Place
urn:LCQuAD:id:2533;What is the territory of the conflict whose commander is Feng Zicai?;Place
urn:LCQuAD:id:1070;Which is the common nation of Louisa Hill and American Football Wellington from?;Place
urn:LCQuAD:id:4133;In which state is Goose Lake Valle, which is also part of Lava River Cave ?;Place
urn:LCQuAD:id:1373;What is the local authority of Liverpool Institute High School for Boys ?;Place
urn:LCQuAD:id:3539;Which countries were led by Pietro Parolin?;Place
urn:LCQuAD:id:1124;Where does the rail route, which ends at the Moskovsky station, begins?;Place
urn:LCQuAD:id:1778;What is the nationality of the golf player who won the  2002 Players Championship ?;Place
urn:LCQuAD:id:2698;Where did the people canonized by John Paul II die?;Place
urn:LCQuAD:id:22;What is the operator of SR class 3Sub ?;Place
urn:LCQuAD:id:4019;Which river flows through Central Washington?;Place
urn:LCQuAD:id:2230;What is the river whose origin is North-Western Province, Zambia?;Place
urn:LCQuAD:id:962;Who are the tenants of MasterCard Centre?;Place
urn:LCQuAD:id:2823;Which adminstrative region of Lawrence F. Cafero is also the resting place of Samuel Keeler ?;Place
urn:LCQuAD:id:1414;which planet was discovered by Urbain Le Verrier?;Place
urn:LCQuAD:id:4412;Which broad cast area od CFRX is the country of North America Poker Tour ?;Place
urn:LCQuAD:id:1731;Where did Steve Romeo dies ?;Place
urn:LCQuAD:id:702;Where are INKAS located which is also the state of origin for Jojo Chintoh ?;Place
urn:LCQuAD:id:496;Where did Fort Lauderdale Strikers season of 16 take place?;Place
urn:LCQuAD:id:2112;What is the serving railway line of Rostov-Glavny ?;Place
urn:LCQuAD:id:399;What country is Jeffrey Werleman from, which also has the American Mediterranean Sea?;Place
urn:LCQuAD:id:1352;List the maintainers of Pandaruan Bridge?;Place
urn:LCQuAD:id:1811;Name the sstadium of 2015 Pro Duta FC season ?;Place
urn:LCQuAD:id:3613;Which country has leaders  Karu Jayasuriya and Ranil Wickremesinghe?;Place
urn:LCQuAD:id:261;What is the route junction of Rhode Island Route 15 ?;Place
urn:LCQuAD:id:2825;What is the mouth mountain of Current River (Missouri) ?;Place
urn:LCQuAD:id:3046;Where is the tombstone of the parliament members who served with James Roberts as the Vice President, US?;Place
urn:LCQuAD:id:1766;Where is the ground of the soccer club, which has Alan Kusov as a team member ?;Place
urn:LCQuAD:id:1423;Where is the radio broadcasted in, whose sister station is CKFM-FM?;Place
urn:LCQuAD:id:4015;Where is the mouth of the river whose tributary is Bjelimićka  Rijeka ?;Place
urn:LCQuAD:id:1735;What is the birth location of the pope who was canonized by Agatha of Sicily?;Place
urn:LCQuAD:id:3158;Which destination of the Novair International Airway is the source origin of Spaghetti squash ?;Place
urn:LCQuAD:id:707;Name the mouth country of Upper Neretva ?;Place
urn:LCQuAD:id:1376;Give me the places where people who worked in Church of England died in ?;Place
urn:LCQuAD:id:4913;Which assembly of the Plymouth Savoy is the route end of the NorthSouth Transport Corridor?;Place
urn:LCQuAD:id:3442;What water bodies are nearest to Helsinki city?;Place
urn:LCQuAD:id:3292;Where did Marvo originate?;Place
urn:LCQuAD:id:440;What river ends in Indian Ocean and also starts somewhere in Zambia?;Place
urn:LCQuAD:id:3058;Which source of river Raa is the sovereign state of Adriatic sea ?;Place
urn:LCQuAD:id:482;List the shrines of the saint whose one of the shrine is Ponza ?;Place
urn:LCQuAD:id:3929;In which areas can I find wine made of Vitis vinifera grapes?;Place
urn:LCQuAD:id:3621;Which expertise of the Menetries s warbler is the  nationality of the Jeyhun Abiyev ?;Place
urn:LCQuAD:id:3541;Where does the road starting from Madison, Wisconsin end?;Place
urn:LCQuAD:id:2206;In which common territory did Sino French war and the Tonkin campaign take place?;Place
urn:LCQuAD:id:4560;In all the states which have a Uniontown, where does a Keller s mill covered bridge exist too?;Place
urn:LCQuAD:id:4834;What is the style of architecture of Shaheed Minar, Kolkata ?;Place
urn:LCQuAD:id:3610;In which timezone does Khok Kwang lie?;Place
urn:LCQuAD:id:140;Where are Aureus and Solidus used as currency?;Place
urn:LCQuAD:id:2446;What are the mountains in the Sequoia National Park?;Place
urn:LCQuAD:id:3483;Cricket is played by which countries  citizens?;Place
urn:LCQuAD:id:4497;Name the route start of Saint Petersburg  Moscow Railway ?;Place
urn:LCQuAD:id:4825;Which river goes through cohoes, NY;Place
urn:LCQuAD:id:1987;Which country are the players of the Atletico Petroleos de Luanda from?;Place
urn:LCQuAD:id:2358;In which nation does the league take place where C.D. Primeiro de Agosto play?;Place
urn:LCQuAD:id:1381;What is the largest city of the country which have an assembly of Plymouth Savoy?;Place
urn:LCQuAD:id:1364;In which municipalities does the NYC housing authority own buildings?;Place
urn:LCQuAD:id:307;What city is the residence of Cheryl Teigs?;Place
urn:LCQuAD:id:1317;Where is the  assembly of Caterpillar 797 ?;Place
urn:LCQuAD:id:1239;What are the county seats of the region which operates the Boeing Field?;Place
urn:LCQuAD:id:2289;Where is the hometown of A Bartlett Giamatti?;Place
urn:LCQuAD:id:4026;What is the home town of the Band which is the previous work of Sammy Hagar & Friends ?;Place
urn:LCQuAD:id:3519;Name the wine regions of Baco noir?;Place
urn:LCQuAD:id:1307;What is the citizenship of the Sarah Kazemy and land of the Cervelle de canut;Place
urn:LCQuAD:id:1993;What is the hub airport of Pawan Hans, and is also the largest city of India?;Place
urn:LCQuAD:id:1447;What is the official residence of Fergus McMaster ?;Place
urn:LCQuAD:id:1269;Where is Vietnam Airlines located ?;Place
urn:LCQuAD:id:185;Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?;Place
urn:LCQuAD:id:3179;What is the route end of NorthSouth Transport Corridor ?;Place
urn:LCQuAD:id:1977;What is the river whose tributary is Zarqa River?;Place
urn:LCQuAD:id:2909;Who are the local authority of Buckhurst Hill County High School ?;Place
urn:LCQuAD:id:1737;What is the common country of Ganz UV and Balaton wine region ?;Place
urn:LCQuAD:id:2356;What water bodies have primary inflows sa Kemijoki?;Place
urn:LCQuAD:id:749;Where is Richard Stites located ?;Place
urn:LCQuAD:id:552;Where is the capital of Kelsey Creek located?;Place
urn:LCQuAD:id:1439;What borders the valley which falls under Lake County, Oregon?;Place
urn:LCQuAD:id:2270;What city is it where Wayne Allard governs and Juli Ashton was born?;Place
urn:LCQuAD:id:1949;In which mountain Inyo National Forest and California are located?;Place
urn:LCQuAD:id:4537;What is the origin of the grape whose wine region is the Troodos Mountains ?;Place
urn:LCQuAD:id:868;What is the country whose administrative centre is Hagta, Guam?;Place
urn:LCQuAD:id:4371;What has  location as Ontario?;Place
urn:LCQuAD:id:4819;Where was Juno I launched from ?;Place
urn:LCQuAD:id:4580;Where did Rheinmetall MG 60 originated ?;Place
urn:LCQuAD:id:4620;List the birth city of the politicians of Democratic Party.;Place
urn:LCQuAD:id:21;Where was the battle fought where 2nd Foreign Infantry Regiment participated  ?;Place
urn:LCQuAD:id:4562;The sports team which played at the American Basketball League championship (1996-1998), have which stadiums?;Place
urn:LCQuAD:id:1193;What are the home stadiums of the things Leonid Fedun has been the chairman of?;Place
urn:LCQuAD:id:2139;Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?;Place
urn:LCQuAD:id:2396;Moscow-Kazan high speed railway starts from which station?;Place
urn:LCQuAD:id:1711;Where does Kafue and Shire river flow into?;Place
urn:LCQuAD:id:1486;Where does the railway tracks start, which ends in Kazan?;Place
urn:LCQuAD:id:2785;What is the colour of Red Marauder ?;Place
urn:LCQuAD:id:3951;List the parts of Greater San Antonio?;Place
urn:LCQuAD:id:1594;Which is the city closest to both the Lodaiska site and the home of David w brown?;Place
urn:LCQuAD:id:4260;Which mainter of Pandaruan Bridge is also the land of Malaysia junior Hockey league ?;Place
urn:LCQuAD:id:2234;In which country can I find the State Academic Opera and Ballet Theater and Baku Puppet Theatre?;Place
urn:LCQuAD:id:3415;Which city has it s landmark as Cheasty Boulevard South?;Place
urn:LCQuAD:id:431;List the stadium of the teams which uses Nea Smyrni  as one of the stadium ?;Place
urn:LCQuAD:id:271;Which rivers originate from Dowra?;Place
urn:LCQuAD:id:310;Name the nearest city to  Lake Victoria?;Place
urn:LCQuAD:id:363;Name the river flowing through Reading and source place as Gloucestershire ?;Place
urn:LCQuAD:id:628;Which wine region of Bogdanua is the mouth country of Upper Neretva ?;Place
urn:LCQuAD:id:3989;Which rivers flow into the lower manhatten?;Place
urn:LCQuAD:id:1223;List the significant building of the architect who also designed  Kiev?;Place
urn:LCQuAD:id:11;Where was the designer of REP Parasol born?;Place
urn:LCQuAD:id:4063;What cities are around the valley bordering Lake Mead?;Place
urn:LCQuAD:id:60;What is the style of architecture of South Loop Printing House District ?;Place
urn:LCQuAD:id:4637;Name the ssignificant buildings of Ivan Fomin ?;Place
urn:LCQuAD:id:3383;Where is the VP buried, which was served by Frederick Cooke?;Place
urn:LCQuAD:id:757;Where can i find companies which were started in Toronto?;Place
urn:LCQuAD:id:2854;Where did the office holder died who also have faith in Episcopal Church ?;Place
urn:LCQuAD:id:701;Which cities come in the course of the river, into which Big Creek around Texas flows too?;Place
urn:LCQuAD:id:2074;What is the layout of the automobiles whose designer company is Olivier Boulay?;Place
urn:LCQuAD:id:1622;In which places can we find the people won the Project Runaway Canada?;Place
urn:LCQuAD:id:1401;Which rivers end in Old Saybrook, Connecticut?;Place
urn:LCQuAD:id:3045;Where does the river end, into which the Rakitnica flows?;Place
